id,name
10,立規
17,疾
38,龐百篇
44,龐邵
50,龐復言
56,龐㴶
62,龐蘊
68,龐嚴
114,座客
125,雍裕之
132,雍氏
138,雍陶
330,塵外
357,彥昇
374,廖融
409,廖凝
424,廖有方
430,廖匡圖
450,齊一
464,齊己
1141,僧達
1291,九華
1897,鄭谷神
1901,節大德
1990,齊古
1997,齊孝若
2004,齊杭
2027,齊映
2051,齊鎬
2057,齊翔
2083,方千
3074,錢特卿
3226,方及
3233,方外
3259,方龜精
3265,方郜
3277,方睦
3283,方巨之
3290,高亭
3302,高彥
3308,高詢
3350,高讜
3356,高正臣
3376,高元裕
3404,高元固
3424,高霽
3432,高霞寓
3443,髙璩
3465,高瑀
3480,高球
3493,高戩
3506,高耽
3520,高瑾
3541,高季興
3558,高仁厚
3569,高衢
3576,高仙芝
3587,高嶠
3599,高崇文
3605,高崇節
3614,高參
3621,高傪
4699,高密公主
4705,高洪
4711,高遠
4720,高湘
4745,高湜
4755,高退之
4767,高遂
4773,高道
4780,高九經
4786,高士廉
4796,高士安
4803,高真動
4809,高式顔
4822,高越
4847,高蔓
4869,高萬生
4877,高英善
4883,高如貴
4890,高鶴林
4897,高援
4904,高輦
4933,高拯
4939,高蟾
4964,高景秀
4970,高郢
4991,高周封
4999,高閑
5009,高駢
5084,高勝
5093,高鍇
5099,高釴
5109,高鎭
5118,高銖
5126,商玲瓏
5136,商季皋
5149,席謙
5158,席元明
5166,席豫
5193,席夔
5221,庸仁傑
5228,應德茂
5237,應之
5243,應浩然
5253,康庭芝
5271,康紹
5277,康造
5300,康沼
5306,康洽
5320,康士遐
5327,康成公
5334,康日知
5342,康昭遠
5357,康駢
5376,庾玄師
5382,庾承宣
5396,庾及之
5409,庾道蔚
5415,庾敬休
5500,庾抱
5509,庾光先
5526,廉察
5533,廉女真
5540,慶奴
5547,摩訶
5554,唐彥謙
5707,唐高
5721,唐禀
5733,唐誡
5740,唐弘
5745,唐弘夫
5752,唐環
5758,唐仁烈
5769,唐衢
5795,唐紹
5801,唐永昌
5849,唐遠悊
5860,唐洙
5866,唐溫琪
5872,唐次
5885,唐道襲
5898,唐有熊
5911,唐求
5976,唐如晦
5982,唐朝臣
5994,唐朝美
5999,唐奉一
6006,唐持
6018,唐扶
6053,唐思亶
6062,唐思言
6074,唐旻
6086,唐昌公主
6092,唐暄
6101,唐昭遠
6108,唐義識
6114,唐知言
6121,唐節
6128,廣文諸生
6133,廣利
6146,廣宣
6358,廣濟
6370,廣通
6385,麻慈力
6397,文應
6403,文秀
6452,文依
6458,文穎
6464,文川
6470,文約
6480,文江
6486,文浦
6492,文浩
6498,文涓
6505,文茂
6531,文英
6541,文著
6549,文郁
6555,文惠
6561,文暢
6579,文周
6586,文勝
6592,文益
6603,文會
6610,辛諤
6629,辛霽
6635,辛弘智
6645,辛巢父
6667,辛昇之
6677,辛漸
6686,辛吉甫
6693,辛替否
6700,辛晃
6721,辛丘度
6736,辛學士
6752,章玄同
6758,章碣
6807,章仇良
6818,章仇兼瓊
6825,章彝
6877,章魯封
6889,章吉甫
6896,章壽朋
6904,章孝標
7102,章八元
7143,辨玉
7149,辨聰
7157,辨才
7171,言之
7177,言樞
7184,玄亮
7190,玄武
7195,玄貞
7202,玄巖
7208,玄奘
7229,玄和
7235,玄微
7241,玄福
7247,玄逵
7272,玄昶
7278,玄士
7284,玄觀
7290,玄泰
7308,玄哲
7315,玄瞻
7334,玄陽
7340,玄同
7347,袞師
7360,裒
7383,顔詡
7389,顏韶
7397,顏頊
7410,顏延之
7417,顏須
7434,顔顓
7451,顔師古
7457,顔峴
7459,李適之
7474,顔粲
7481,顏渾
7481,顔渾
7494,顔逸
7501,顏士騁
7510,顏真卿
7510,顔真卿
7817,顔標
7823,顏萱
7855,顔惠
7873,顔覺
7882,譚遠
7888,譚用之
7961,誡盈
7968,識古
7975,謝庭皓
7981,謝麟
7987,謝石
7993,謝偃
8001,謝勮
8008,謝生
8014,謝仲宣
8021,謝自然
8038,謝叔方
8044,謝良弼
8052,謝良輔
8087,謝遺塵
8093,謝太虛
8105,謝南池
8115,謝觀
8126,謝楊兒
8133,謝好
8139,謝柳察
8145,謝夷甫
8152,謝防
8160,護國
8207,諸葛覺
8228,翊西
8237,郭正一
8259,郭震
8259,郭震（字元振）
8312,郭夏
8327,郭雲
8333,郭廷謂
8339,郭勁
8346,郭承嘏
8352,郭子儀
8396,郭受
8407,郭季鷹
8413,郭虛舟
8423,郭行餘
8447,郭紹蘭
8453,郭微
8478,郭從義
8483,郭良
8496,郭良輔
8502,郭涯
8517,郭澹
8535,郭凝素
8541,郭通微
8547,郭道源
8553,郭乂
8560,郭太后
8566,郭布
8573,郭求
8579,郭婉
8585,郭婉儀
8596,郭英乂
8609,郭黃中
8615,郭中孚
8621,郭旼
8629,郭圓
8643,郭曖
8657,郭鄖
8672,郭廈
8687,郭冏
8693,郭銓
8699,郭縱
8699,郭鏦
8709,郭愼微
8716,詢公
8725,謬獨一
8732,施璘
8738,施肩吾
8972,謙明
8985,許彥昭
8991,許康佐
8997,許顔
9003,許天正
9009,許璋
9015,許雲封
9021,許飛瓊
9027,許琳
9033,許融
9039,許孟容
9102,許玖
9114,許子正
9120,許子儒
9126,許巢
9132,許牘
9141,許緯
9153,許仲與
9160,許叔載
9169,許宣平
9180,許纒
9186,許宗憲
9193,許法稜
9204,許溫
9210,許遇
9216,許渾
10510,馬鎭西
10767,許堯佐
10774,許壽
10780,許彬
10837,許蘭
10842,許敬宗
10990,許中庸
10996,許損
11004,許恩
11028,許圉師
11041,許景先
11077,許暐
11083,許鳴謙
11090,許堅
11101,許問
11107,許籌
11113,許裳
11120,許棠
11431,談弘謨
11437,談皓
11453,一行
11461,正一
11467,正弘
11488,三惠
11501,玉霄
11507,玉淸
11519,玉真公主
11565,玉華
11573,玉簫
11580,王主敬
11589,王彥威
11608,王文
11614,王文仲
11620,王文矩
11628,王玄伯
11634,王顔
11643,王諲
11649,王端
11655,王誕
11662,王斌
11669,王誼
11675,王說
11681,王正己
11693,王正夫
11699,王至德
11707,王靈妃
11714,王元
11735,王元裕
11741,王震
11763,王霞卿
11775,王可封
11781,王霖
11787,王班
11793,王碩
11800,王璠
11851,王烈
11857,王廷珪
11863,王延政
11870,王延彬
11928,王延昌
11940,王砅
11947,王武俊
11953,王武陵
11968,王瓘
11983,王勔
11991,王建
12722,王建
12790,王理得
12796,王羽
12812,王珣
12819,王琚
12839,王璵
12845,王承系
12851,王承旨
12856,王承俊
12865,王子文
12871,王子载
12883,王璘
12889,王重
12895,王重榮
12901,王依
12908,王季文
12914,王季友
13017,王維
13496,宋進馬
13863,賀遂
14223,王衍
14284,王仁裕
14327,王處直
14333,王處回
14339,王行周
14347,王熊
14364,王師魯
14373,王師曾
14380,王師簡
14387,王師範
14402,王𩔪
14409,王貞
14415,王貞白
14507,王貞素
14513,王縉
14658,王穎悟
14665,王崟
14686,王岑
14693,王嵩
14703,王嵩隱
14709,王仙喬
14714,王仙仙
14725,王仙客
14738,王仙柯
14744,王邕
14746,懷素
14758,王山人
14764,王繼勳
14770,王繼鵬
14782,王參
14791,王允光
14797,王絿
14803,王倚
14809,王德真
14815,王儲
14821,王贊學
14827,王紞
14842,王綺
14849,王緯
14868,王緒
14875,王伸
14881,王仲華
14888,王仲周
14902,王仲舒
14917,王傳
14937,王純
14961,王繢
14971,王績
15050,王皇后
15068,王伯倫
15074,王伯固
15079,王總
15085,王龜
15110,王倜
15116,王修甫
15129,王彝訓
15135,王魯復
15153,王叡
15159,王紓
15168,王紹
15194,王紹宗
15202,王倫
15208,王徹
15214,王牧
15221,王縱
15234,王注
15244,王汶
15254,王寧
15260,王宁
15266,王永
15273,王之渙
15298,王守澄
15308,王宇
15315,王審知
15353,王良士
15365,王良會
15382,王密卿
15388,王定保
15394,王宗壽
15400,王宗城
15414,王涯
15584,王泌
15592,王溥
15606,王法
15612,王逵
15621,王達
15627,王沛
15634,王迪
15640,王遘
15665,王況
15671,王渢
15694,王潤
15700,王潮
15712,王渙
15732,王澹
15738,王凝
15749,王滌
15786,王迥
15828,王逢
15849,王澈
15856,王遂
15862,王棨
15871,王逖
15877,王太后
15891,王奭
15897,王直
15903,王直方
15913,王有初
15919,王希羽
15925,王志安
15932,王古敏
15937,王奇光
15943,王雄
15955,王去微
15962,王檀
15968,王樞
15974,王求
15986,王越賓
15992,王藻
15998,王夢周
16007,王棼
16014,王茂元
16047,王茂時
16055,王蘇蘇
16066,王孝廉
16094,王勃
16193,王謩
16206,王著
16211,王蕃
16217,王藹
16225,王甚夷
16237,王楚
16247,王駕
16274,王韞秀
16288,王柷
16295,王枳
16307,王毂
16325,王起
16643,王赦
16649,王翰
16707,王中立
16713,王惠翼
16720,王忠臣
16733,王振
16742,王播
16787,王威古
16799,王感化
16810,王撙
16824,王損之
16830,王拯
16842,王輅
16847,王契
16858,王擒
16882,王衆仲
16889,王思禮
16896,王思道
16902,王早
16917,王昌齡
16979,王越
17478,王昌涉
17484,王圓
17491,王景
17498,王晙
17521,王儼
17527,王昭符
17536,王嗣之
17542,王晦伯
17555,王丘
17578,王質
17588,王質夫
17636,王隨
17642,王陵
17648,王閏
17660,王鳳兒
17666,王周
17700,王展
17706,王閈
17712,王開
17718,王卿
17746,王臨
17752,王全
17758,王釜
17764,王翁信
17776,王無競
17809,王倉
17815,王公亮
17825,王公易
17832,王鉅
17842,王鍇
17852,王鋌
17859,王錥
17867,王鍔
17873,王錫
17879,王鐸
17935,王知白
17943,王智興
17949,王鎰
17955,王鑑
17963,王銷
17970,崔垂休
17976,王光庭
17999,王光輔
18006,王尚一
18013,王炎
18019,王恆
18029,王慥
18066,王悔
18073,至言
18080,至弘
18091,至寂
18106,至嚴
18114,亞齊
18120,亜仙
18133,豆盧仁業
18139,豆盧峯
18163,豆盧次方
18173,豆盧策
18188,靈應
18198,靈一
18621,靈準
18629,靈祐
18639,靈初
18645,靈符
18652,疏言
18660,聶夷中
18675,雪峯
18682,雪竇
18698,丁飛舉
18704,丁瓊
18710,丁仙芝
18741,丁稜
18755,丁寓
18766,丁鳳
18777,丁居晦
18796,丁公著
18804,元亨
18816,元誅
18829,元亘
18840,元瑞
18846,元承
18853,元子球
18859,元俯
18873,元孚
18932,元皎
18942,元集虛
18964,元秬
18971,元紱
18977,元德秀
18994,元偉
19013,元緒
19027,元結
19128,元稹
20401,李娃
21993,元積
21999,元伯和
22006,元和舉子
22012,元紹
22018,元從簡
22025,元注
22043,元宗筒
22043,元宗簡
22217,元源休
22223,元演
22229,元祐
22235,元達
22245,元遂
22258,元道
22264,元克己
22282,元荆
22375,元萬頃
22411,元樊
22420,元持
22427,元晝
22434,元盛
22441,元撝
22447,元昱
22453,元暠
22459,元晟
22481,元昌
22487,元曉
22493,元晦
22504,元願
22510,元長楚
22516,元降真
22522,元丹丘
22583,元開
22590,元全柔
22597,元鏡微
22604,元谷
22613,元敍
22619,元錫
22635,元簡
22642,霍總
22652,霄韻
22665,夏方慶
22676,夏侯孜
22683,夏侯審
22740,夏寶松
22746,夏鴻
22752,夏瞻
22758,夏郢
22851,于季子
22866,于季友
22887,于經野
22901,于德晦
22907,于休烈
22914,于幼卿
22920,于鵠
23095,于良史
23114,于汝錫
23126,于濤
23133,于祐
23144,于鄴
23174,于逖
23196,于克構
23202,于志寧
23216,于兢
23222,于蘊玉
23234,于頔
23303,于敖
23310,于丹
23323,于興宗
23436,于人文
23454,于益
23462,覃懷
23469,平康妓
23475,平澹然
23485,平曾
23500,平等
23508,无願
23518,天得
23525,天寶宮人
23534,天目僧
23540,再陽
23553,石賈
23559,石重貴
23565,石季武
23571,石上宅嗣
23573,鑒真
23576,石守道
23582,石冰
23588,石洪
23595,石雄
23615,石晝
23621,石惠泰
23627,石抱忠
23633,石壁禪師
23639,石貫
23656,石欽若
23662,百巖
23669,西蟾
23679,西鄙人
23686,雷禪
23693,可止
23715,可倫
23721,可準
23741,可朋
23764,哥舒翰
23816,哥舒恆
23823,哥舒煩
23830,雲辨
23836,雲端
23842,雲皋
23857,雲安公主
23868,雲寂
23874,雲栖
23884,雲英
23890,雲英
23895,雲棲
23901,雲晏
23908,雲顥
23914,雲居
23920,雲卿
23933,賈膺福
23939,賈言淑
23948,賈言忠
23958,賈至
24192,賈戬
24199,賈耽
24205,賈琛
24211,賈季良
24218,賈師雄
24224,賈嵩
24238,賈循
24245,賈邕
24265,賈島
25119,成湘
25690,賈淳
25696,賈希
25702,賈載
25708,賈謩
25724,賈松
25730,賈泰
25736,賈握中
25744,賈昇
25753,賈匡
25764,賈區
25774,賈隨
25780,賈馳
25786,賈鵬
25796,賈全虛
25804,賈弇
25823,賈曾
25842,賈餗
25882,賈恆
25890,不疑
25899,不空
25907,不思
25914,班震
25930,班景倩
25937,項信
25943,項洙
25952,項斯
26110,張立
26112,李亶
26122,張彥
26141,張彥回
26148,張齊物
26159,張文琮
26174,張文瓘
26180,張文規
26187,張諲
26260,張計
26266,張讚
26272,張謂
26396,張諤
26437,張望
26448,張調
26468,張鷟
26474,張說
27834,張正一
27853,張正元
27867,張正謩
27873,張正甫
27903,張正則
27909,張元一
27928,張元夫
27938,張元易
27944,張夏
27965,張霞
27974,張天覺
27988,張可績
28002,張雲峯
28008,張雲容
28019,張雲舉
28029,張賈
28061,張賈
28095,張頂
28101,張登
28139,張弘靖
28211,張延賞
28221,張融
28227,張建
28235,張建封
28299,張環
28311,張璪
28322,張碧
28341,張孟熊
28352,張琚
28360,張瑤
